Country,Political Side,Distance
Chile,Left,-0.11367597249659478
Chile,Left,-0.14434577280828206
Chile,Left,-0.3288011186206588
Chile,Left,-0.18127557453858364
Chile,Left,-0.2227952668506005
Chile,Left,-0.19917133769474193
Chile,Left,-0.19883912491825517
Chile,Left,-0.00044650590510177747
Chile,Left,-0.10887502654871936
Chile,Left,-0.3217983206617826
Chile,Left,-0.17980386716540328
Chile,Left,-0.17939925866342257
Chile,Left,-0.32660616276057447
Chile,Left,-0.20081632958392726
Chile,Left,-0.320986546730747
Chile,Left,-0.35452822727773764
Chile,Left,-0.26685379469519166
Chile,Left,-0.24604811562722104
Chile,Left,-0.08786008102527508
Chile,Left,-0.22800623989960392
Chile,Left,-0.1675510295841104
Chile,Left,-0.25659054420380506
Chile,Left,-0.12174823683840275
Chile,Left,-0.19161878284290187
Chile,Left,-0.2732266407232248
Chile,Left,-0.20551078141840268
Chile,Left,-0.2570499273167284
Chile,Left,-0.20429095955037815
Chile,Left,-0.24258325393586452
Chile,Left,-0.013062546591773833
Chile,Left,-0.2609987194818424
Chile,Left,-0.2798004664275688
Chile,Left,-0.22101312645793128
Chile,Left,0.3293062201646045
Chile,Left,-0.27519313924710226
Chile,Left,-0.256357932288631
Chile,Left,-0.33074448350716645
Chile,Left,0.06993433119543625
Chile,Left,0.03328467029660959
Chile,Left,-0.2776380150051571
Chile,Left,-0.2317723661328227
Chile,Left,-0.11786411550449849
Chile,Left,-0.2215012793886816
Chile,Left,-0.09596139960826489
Chile,Left,-0.26430074298763295
Chile,Left,-0.209990065967669
Chile,Left,-0.21605859188841317
Chile,Left,-0.04916954326692934
Chile,Left,-0.18662129586881138
Chile,Left,0.013980447269540765
Chile,Left,0.05077651094961712
Chile,Left,-0.14072918676851343
Chile,Left,-0.25445984382062853
Chile,Left,-0.21022294697052338
Chile,Left,-0.16584472469430478
Chile,Left,-0.061548550758253606
Chile,Left,-0.1429814592743012
Chile,Left,-0.26297815406755337
Chile,Left,-0.2572151903220234
Chile,Left,0.2508382630121226
Chile,Left,-0.3418291582154012
Chile,Left,-0.1654709702085528
Chile,Left,-0.18349833773600768
Chile,Left,-0.12692046501699467
Chile,Left,-0.020325312756624813
Chile,Left,0.07555339744118647
Chile,Left,-0.2524249594179447
Chile,Left,-0.23384896835480265
Chile,Left,-0.22191692556663487
Chile,Left,0.15402090959975903
Chile,Left,-0.2947805458545834
Chile,Left,0.08685451059303899
Chile,Left,-0.3070594267374898
Chile,Left,-0.3070594267374898
Chile,Left,-0.07202033670405794
Chile,Left,-0.12258778555721055
Chile,Left,-0.2983336759083952
Chile,Left,-0.22586805301188226
Chile,Left,-0.09150544740582237
Chile,Left,-0.26694263806202934
Chile,Left,0.07292072529710099
Chile,Left,-0.17700128826962877
Chile,Left,0.19535382495794126
Chile,Left,0.10588214806808635
Chile,Left,-0.13444158868971162
Chile,Left,-0.13444158868971162
Chile,Left,-0.2225689498559969
Chile,Left,0.07313727548899698
Chile,Left,-0.1525981522368377
Chile,Left,-0.3354096786780242
Chile,Left,-0.11876267718515283
Chile,Left,0.0022843366244918004
Chile,Left,0.12697179640351816
Chile,Left,-0.0006640138505571818
Chile,Left,-0.2728561017982234
Chile,Left,0.1713038228056421
Chile,Left,-0.3359307686988255
Chile,Left,0.14381358431979901
Chile,Left,0.22288654528107643
Chile,Left,-0.33895893023675194
Chile,Left,-0.29288487021585985
Chile,Left,-0.23426373385109267
Chile,Left,0.1162305898531182
Chile,Left,0.038085273996907934
Chile,Left,-0.03210424629014126
Chile,Left,-0.03210424629014126
Chile,Left,-0.023428438621964136
Chile,Left,0.008553719371118776
Chile,Left,-0.071887106899015
Chile,Left,-0.2843356210994114
Chile,Left,-0.19060487075525948
Chile,Left,-0.1776063213385387
Chile,Left,-0.09148206316450633
Chile,Left,-0.08883749744392985
Chile,Left,-0.29173789387448607
Chile,Left,0.24396053067987603
Chile,Left,-0.17146136754543417
Chile,Left,-0.08832327663037255
