uuid,z1,z2
0121617b-bf2b-4fb1-9247-e1f1634e405a,0.8932127,0.50756484
01216d18-155f-4a46-a3f1-b9985162fd17,0.8690707,0.629188
0121d914-184e-4755-b8f7-fb1537ef1ba1,0.56672907,0.2699565
012281cc-c144-49f6-b8fc-e8a4ba730f87,0.40734857,0.23056006
0125050a-f4f7-4288-9475-2db620cddf0e,0.83355695,0.5924403
012897ed-871d-489e-b8d1-945e4af38e92,0.8479916,0.65243924
012b7525-8d18-40c3-938c-1a0ad2dba6b4,0.11703387,0.28259882
012be04e-459f-4e76-914d-e49fade358fa,0.6813086,0.6191283
012e87bb-aca9-4a6e-ac55-4ed1d9052bc4,0.47092682,0.20451093
012f6feb-4625-4e21-a94a-6648088ee0a2,0.36045012,0.73322755
01320de3-50e7-4b1b-bfbf-24d088f37552,0.7922938,0.5919866
013389c1-6e09-471f-8234-cba79e9a905e,0.7041758,0.5616497
01342943-db6d-414e-b5db-4927baa228bd,0.15998678,0.6164938
0134378d-7dc5-4cee-bc96-78c654c59eab,0.8765213,0.51755965
0134d145-4866-45f8-82f3-9b7d85e32142,0.23658495,0.122773066
0135fa76-25ab-48dd-98d2-5f6c7516e0ba,0.78578365,0.6443552
013733fe-cbc3-4972-8006-f43d8b45ff1d,0.7071681,0.41081384
01377733-150e-4e66-b9d5-b14b8302d8ee,0.8017797,0.6895576
013954ec-e04a-47dc-9e3d-9a0ca0a86072,0.5932754,0.43340716
0139c855-3e31-4bc8-b636-012a852aaf13,0.7907036,0.3752519
013a298a-ea8e-4e93-940d-c06b6e15e037,0.8542499,0.41048336
013a4852-a8bf-46d4-9602-86d5001ff38c,0.94051933,0.59267706
013ae893-fdfb-4548-96a6-296602c7a3a7,0.61672896,0.56891704
013c1dfd-242d-4bff-a81f-96145b14b3dc,0.8734031,0.618799
013c65b5-841e-461d-b93a-5c84727bb9fe,0.77644336,0.6133713
013c872b-7773-436f-a732-cc6c00786aa8,0.686303,0.84473884
01403d7e-0251-455f-85b1-fce1a9ffb367,0.8265351,0.6545371
014240ed-544e-4ac8-9922-d621470262ac,0.20707524,0.17611183
01448e96-70f4-401b-87fd-90a2baedcbba,0.74754924,0.65749484
01454522-1deb-4e75-adc8-e9c9630ae862,0.878573,0.705161
01488056-f683-4560-9c83-c5aceac61a4b,0.7054754,0.061459
0149cf9a-0eb7-44c6-8e3c-0c528f8cb28e,0.7812746,0.4960936
014c2212-e1c1-448e-911b-236bd47c53ef,0.9005876,0.5107312
014c40d6-b40e-46a6-96af-4de0b1a852bb,0.6233837,0.3164931
014c9fb0-1ada-4cca-979e-0ae8b9dc2228,0.6805156,0.51627415
014fbe56-df4e-492e-b8cf-fb9e883b0bae,0.796693,0.6407192
01502c85-1675-4c1a-8b5c-3229ff1dd668,0.9263123,0.5779185
015309c1-48d7-4283-9d12-47cf8e9c5d96,0.81070924,0.34191537
0154df82-26b7-435a-9908-7a00c4af880d,0.861697,0.45781064
0154e956-1ffc-4cf1-a080-3299581058bc,0.8171757,0.4957293
0157319e-fa99-49f1-8848-16192b4bf63c,0.84499335,0.52754873
0159576f-5ad6-4c76-bc1d-f2e493bebb06,0.7921396,0.6885528
015a90fb-d0bb-4834-88e6-ed34c15bf8e0,0.7686552,0.35280085
015dcb4a-0ec9-4b16-bd8c-6e29e8109904,0.20389731,0.23738965
015e0e61-8a3d-46fd-81ce-05ece107d178,0.74246025,0.36672866
015f641e-1e75-4ee6-bc86-a3068d8d611d,0.70958996,0.56698364
015fe13d-8233-4d01-9649-e7ed2dfca9ba,0.84508,0.36591998
016220a0-d454-49f5-b64a-d4f842c8ca76,0.59024805,0.42042992
01625d5b-79e9-420a-86b4-dd660313859e,0.00015863213,0.9984047
0162b5d5-b633-425d-b584-024606167e09,0.7737697,0.5978219
0163aa89-0e80-4382-b5cc-91ae5871b9dc,0.8847597,0.72117096
01647cad-a0cf-471c-8984-59fe79c324b2,0.46526018,0.55765903
0164a618-cb8a-4629-a1cf-a4bb840c56cf,0.8895171,0.5530988
01653b8d-9af9-4dd2-93d4-e095ec915bbd,0.33642876,0.28605387
0165428e-d507-4ed8-ba2e-b10dae60b938,0.78220356,0.28113902
01662f1f-fbf7-487a-a86c-4ac0c24efc17,0.6119435,0.5378172
016793d7-b6dd-4b2d-905d-4b22921a7a96,0.7123161,0.5442711
01681fe2-41e6-4731-9fc4-44fc0ea80397,0.8812217,0.5033799
016a34b2-6115-4cca-8653-4cf791e59b2e,0.7632189,0.6169293
016ac81b-cebf-4b4f-990d-36c106a752d2,0.7713401,0.4575262
016c035a-0fa8-4bf8-9f12-70feb8796fe9,0.7095627,0.5945173
016e17ee-abe2-4bd3-85d5-ef14798540ba,0.8560176,0.198166
016e5a34-8834-475e-a240-09cf41817ea0,0.7977082,0.21289344
016e9b28-46b3-4179-b80e-00739fa05426,0.80649626,0.57550174
0173fb91-cb05-4abc-ae7a-e291716ab53b,0.891948,0.62203354
01741149-9300-4862-8c64-4b39f25de879,0.881827,0.50363165
017506b9-34a4-4095-a5e9-c09d84eb5c64,0.85726666,0.591009
0175d373-07fa-47c3-beea-865d47fc8e9e,0.8117321,0.13836883
01764b70-ee3b-43d7-96bc-79ce3fcaa876,0.776029,0.40065664
0178cf79-3b5e-402e-a295-e98449c42e5c,0.6067167,0.472784
017abad9-5e6e-4079-99f5-d00b9dad3c3e,0.8193755,0.18749347
017e0b34-6af2-42d8-ac62-f08122cdff43,0.23480383,0.30049166
0180ca16-a569-4725-a4ac-47178b54d6c1,0.85041344,0.76294875
018141b9-511d-43fd-8616-cdac540ee48d,0.51186424,0.19093557
01819250-40dd-4270-9910-bf5d5a5806f2,0.74772894,0.6105378
01823bf3-6d24-481f-aa3f-48d5fbb4e130,0.8660937,0.60494083
