id,uuid,sex,age,region,politica,datetime,score,ip_hash,z1,z2
185,ffb4078a-9087-4619-89c1-8a5db8f43add,Masculino,30,Metropolitana de Santiago,3,2019-10-24 12:30:00.345396-03,,,0.50204045,0.50066525
186,ffb4078a-9087-4619-89c1-8a5db8f43add,Masculino,30,Metropolitana de Santiago,3,2019-10-24 12:30:04.569853-03,,,0.50204045,0.50066525
187,ffb4078a-9087-4619-89c1-8a5db8f43add,Masculino,30,Metropolitana de Santiago,3,2019-10-24 12:30:05.901507-03,,,0.50204045,0.50066525
188,6ec0ee56-8b1f-4c80-b556-3b0316efaedc,Femenino,45,Metropolitana de Santiago,9,2019-10-24 12:30:15.35923-03,,,0.5049781,0.5028283
189,6ec0ee56-8b1f-4c80-b556-3b0316efaedc,Femenino,45,Metropolitana de Santiago,5,2019-10-24 12:30:23.364355-03,,,0.5049781,0.5028283
190,6ec0ee56-8b1f-4c80-b556-3b0316efaedc,Femenino,45,Metropolitana de Santiago,5,2019-10-24 12:30:23.398452-03,,,0.5049781,0.5028283
191,6ec0ee56-8b1f-4c80-b556-3b0316efaedc,Femenino,45,Metropolitana de Santiago,5,2019-10-24 12:30:32.164422-03,,,0.5049781,0.5028283
192,6ec0ee56-8b1f-4c80-b556-3b0316efaedc,Femenino,45,Metropolitana de Santiago,5,2019-10-24 12:30:32.642561-03,,,0.5049781,0.5028283
193,6ec0ee56-8b1f-4c80-b556-3b0316efaedc,Femenino,45,Metropolitana de Santiago,5,2019-10-24 12:30:37.876714-03,,,0.5049781,0.5028283
194,2f465e3f-f7fe-45ec-ae71-8043c128cb2a,Masculino,28,Valparaíso,3,2019-10-24 12:30:56.302538-03,,,0.50569063,0.49752685
203,f4d86a49-40be-4492-aa22-52e8d1934385,Masculino,41,Metropolitana de Santiago,8,2019-10-24 12:31:55.179292-03,,,0.50120705,0.49834475
204,f4d86a49-40be-4492-aa22-52e8d1934385,Masculino,41,Metropolitana de Santiago,8,2019-10-24 12:31:58.728901-03,,,0.50120705,0.49834475
205,f4d86a49-40be-4492-aa22-52e8d1934385,Masculino,41,Metropolitana de Santiago,8,2019-10-24 12:31:57.449826-03,,,0.50120705,0.49834475
206,f4d86a49-40be-4492-aa22-52e8d1934385,Masculino,41,Metropolitana de Santiago,8,2019-10-24 12:31:59.258706-03,,,0.50120705,0.49834475
269,f4d86a49-40be-4492-aa22-52e8d1934385,Masculino,42,Metropolitana de Santiago,8,2019-10-24 12:41:56.594006-03,,,0.50120705,0.49834475
517,f4d86a49-40be-4492-aa22-52e8d1934385,Masculino,41,Metropolitana de Santiago,8,2019-10-24 14:10:37.787628-03,,,0.50120705,0.49834475
217,31f6bbdc-296a-4095-a761-6dbb5a659e09,Femenino,35,Valparaíso,4,2019-10-24 12:36:31.42101-03,,,0.5046644,0.49401996
